292 4 1
1	1.57286e+06	1.63248e+07	81.09	2069.04	:	0
2	705024	1.051e+07	93.17	830.18	:	0
3	786432	8.16238e+06	81.09	2069.04	:	1
4	147456	2.897e+06	90.96	846.42	:	0
5	186368	2.566e+06	54.58	635.15	:	2
6	298592	1.941e+06	73.87	377.48	:	2
7	163840	1.72549e+06	82.28	2099.45	:	0
8	131072	1.38039e+06	82.28	2099.46	:	0
9	77184	1.359e+06	81.52	603.73	:	1
10	120640	1.271e+06	42.59	492.64	:	3
11	125980	1.243e+06	71.77	311.77	:	3
12	70560	1.237e+06	81.16	562.27	:	2
13	114688	1.20784e+06	82.28	2099.47	:	0
14	73278	1.192e+06	52.11	852.27	:	2
15	142272	1.11e+06	81.27	278.89	:	1
16	153408	1.054e+06	81.79	362.2	:	1
17	138368	1.05e+06	83.7	228.76	:	1
18	76800	1.043e+06	91.86	886.3	:	0
19	122400	1.042e+06	75.74	444.35	:	2
20	98304	1.0353e+06	82.28	2099.48	:	0
21	112800	919100	78.35	297.44	:	2
22	78660	901900	53.05	322.11	:	3
23	39680	886400	72.79	364.92	:	3
25	294912	825500	82.33	363.98	:	1
26	137200	795900	74.37	741.06	:	2
27	46208	773700	80.5	837.19	:	2
28	53248	771700	57.47	668.1	:	3
29	65536	690197	82.28	2099.46	:	1
30	65536	690197	82.28	2099.46	:	1
31	65536	690197	82.28	2099.46	:	1
33	77824	565700	79.01	582	:	2
34	24576	548996	72.79	364.92	:	4
35	24576	548996	72.79	364.92	:	4
36	49152	517648	82.28	2099.48	:	1
37	29440	496500	49.03	919.44	:	2
38	163840	458611	82.33	363.98	:	2
40	62976	433200	74.77	216.6	:	3
41	20800	421600	54.18	1035.13	:	2
42	147456	415700	82.92	366.58	:	1
43	18432	411747	72.79	364.92	:	5
44	22048	396700	86.5	738.73	:	1
47	20480	347400	81.55	775.45	:	2
48	32768	345098	82.28	2099.39	:	2
49	32768	345098	82.28	2099.39	:	2
50	32768	345098	82.28	2099.39	:	2
51	15360	343123	72.79	364.92	:	6
52	19712	336800	82.14	799.62	:	3
54	19680	332000	81.11	731.92	:	4
55	45120	316400	83.48	184.86	:	2
56	45120	316400	83.48	184.86	:	2
57	47840	316200	78.68	405.38	:	3
58	17344	303900	84.24	786.17	:	1
59	16368	299300	58.86	718.12	:	5
62	16160	285800	85.03	797.43	:	1
63	26304	274800	89.14	177.4	:	1
64	26232	274800	89.38	215.53	:	1
65	14720	268100	87.56	848.69	:	1
66	30912	261631	83.63	254.01	:	1
68	17408	251500	44.64	688.1	:	5
70	10240	243900	79.6	438.43	:	5
74	14208	238200	48.4	1050.26	:	3
75	23040	237800	88.77	223.5	:	1
77	37056	230600	67.64	426.72	:	3
80	13312	211700	63.06	732.53	:	4
81	33792	204993	72.22	474.52	:	3
82	38208	204200	71.9	81.48	:	4
83	30912	194400	74.87	318.69	:	4
84	17072	191400	95.66	230.32	:	0
85	65536	190900	85.67	378.77	:	1
87	9904	187373	90.96	910.82	:	0
88	10368	186900	86.67	741.67	:	2
90	8192	185100	73.63	369.11	:	6
91	8192	185100	73.63	369.11	:	6
93	9728	183379	90.63	188.08	:	1
96	10080	178600	85.18	786.78	:	2
97	9440	177512	87.06	682.74	:	2
99	16384	172691	82.35	2101.12	:	0
100	16384	172691	82.35	2101.12	:	0
101	16384	172691	82.35	2101.12	:	0
102	16384	172691	82.35	2101.12	:	0
103	16384	172691	82.35	2101.12	:	0
104	16320	168800	88.25	330.98	:	1
108	15672	162098	88.25	330.98	:	2
110	15360	161800	89.88	225.03	:	1
111	15360	160200	93.12	206.98	:	1
112	22176	160100	85.95	467.72	:	1
113	6912	159600	75.24	377.2	:	6
114	8192	158696	93.13	932.63	:	0
117	20776	152900	83.63	355.58	:	2
121	7680	148778	93.14	932.6	:	0
123	10240	142700	48.67	891.88	:	3
125	14400	136300	88.96	404.45	:	1
126	9280	135400	70.15	643.69	:	5
128	14336	133200	77.43	154.7	:	5
129	14384	132800	76.94	168.96	:	5
130	15456	131900	82.06	521.96	:	4
132	23316	131386	55.68	185.77	:	5
134	6720	130181	93.14	932.59	:	1
137	14400	126500	78.16	458.33	:	5
140	17856	125800	83.87	185.71	:	2
141	22272	125503	52.96	181.78	:	6
143	5120	124756	79.4	398.05	:	6
146	5632	121600	71.99	342.92	:	7
147	8320	120400	50.55	953.51	:	3
149	40960	119310	85.67	378.76	:	2
150	9800	118600	65.53	1176.59	:	3
152	8064	115900	76.45	89.98	:	6
153	8320	115900	74.1	87.21	:	6
154	8320	115900	74.1	87.21	:	6
157	8240	114829	48.15	891.88	:	4
160	12032	110600	91.19	108.43	:	2
164	10752	109300	90.76	230.11	:	1
165	5712	109200	91.91	619.05	:	2
168	11520	108500	83.46	227.46	:	3
172	6210	106300	54.84	901.54	:	4
173	10240	106100	86.34	240.05	:	3
175	10128	104755	88.25	330.98	:	3
176	18576	104676	55.68	196	:	5
177	5544	103200	56.43	1266.26	:	3
181	15104	101741	73.22	122.43	:	5
186	17808	100349	55.68	220.93	:	6
187	6848	98423	76.45	89.88	:	7
188	17344	97959	55.81	186.2	:	6
189	17344	97959	55.81	186.2	:	6
195	17160	96697	48.08	177.02	:	7
197	19160	96444.9	55.68	206.51	:	5
201	32768	95450	85.67	378.77	:	2
205	16716	94195	55.68	196	:	7
206	16716	94195	55.68	196	:	7
207	16716	94195	55.68	196	:	7
208	16716	94195	55.68	196	:	7
209	7392	93647	38.24	865.9	:	5
210	7392	93647	38.24	865.9	:	5
212	9756	92343.2	88.96	354.32	:	2
213	16368	92234	55.68	185.77	:	8
214	16368	92234	55.68	185.77	:	8
215	16368	92234	55.68	185.77	:	8
216	16368	92234	55.68	185.77	:	8
217	16368	92234	55.68	185.77	:	8
218	16368	92234	55.68	185.77	:	8
219	16368	92234	55.68	185.77	:	8
220	16368	92234	55.68	185.77	:	8
221	6400	91620	84.4	579.51	:	3
222	40960	91290	79.6	203.77	:	3
224	4704	91126	93.13	932.62	:	1
225	12512	91030	75.79	252.86	:	6
232	4968	89940	58	817.64	:	4
234	9072	89670	88.25	421.74	:	1
237	15744	88718	55.68	178.23	:	9
238	8568	88620	88.25	368.62	:	2
239	8568	88620	88.25	368.62	:	2
245	11520	87470	83.77	803.95	:	2
246	10224	87438.4	80.2	260.64	:	5
247	15504	87365	55.68	178.23	:	10
252	8192	86346	82.35	2101.39	:	0
253	8192	86346	82.35	2101.39	:	0
257	6776	85843	38.24	865.88	:	6
258	6776	85843	38.24	865.88	:	6
259	6776	85843	38.24	865.88	:	6
260	6776	85843	38.24	865.88	:	6
261	6776	85843	38.24	865.88	:	6
262	6776	85843	38.24	865.88	:	6
263	6776	85843	38.24	865.88	:	6
264	6776	85843	38.24	865.88	:	6
265	6776	85843	38.24	865.88	:	6
266	6776	85843	38.24	865.88	:	6
267	6776	85843	38.24	865.88	:	6
268	6776	85843	38.24	865.88	:	6
278	13440	83080	77.28	118.69	:	6
284	36864	82161	79.6	203.87	:	3
285	14556	82023	55.68	185.77	:	9
287	9648	81664	74.77	214.78	:	7
288	9648	81664	74.77	214.78	:	7
289	9648	81664	74.77	214.78	:	7
290	9648	81664	74.77	214.78	:	7
291	5088	81170.8	76.7	450.95	:	6
292	14400	81144.4	52.96	215.38	:	7
293	14328	80739	48.08	166.13	:	11
295	14256	80333	55.68	185.77	:	10
296	14256	80333	55.68	185.77	:	10
300	8280	79320	90.03	352.53	:	1
303	5376	78680	77.85	91.59	:	6
304	5440	78680	76.93	90.54	:	7
305	13956	78642.4	52.96	210.94	:	8
306	15576	78404.3	55.68	232.38	:	6
309	13788	77696	48.08	200.83	:	9
